bu,requestStorePath,R0_pct,AIS_pct,ads_CTR_pct,org_CTR_pct,ads_CABN_per_click_pct,org_CABN_per_click_pct,ads_imp,org_imp,all_impressions,ads_clicks,org_clicks,all_clicks,ads_atc,ads_bnc,ads_cabn,org_atc,org_bnc,org_cabn,all_atc,all_bnc,R0_bucket,AIS_bucket
Lifestyle,clo/qd8/t6b,26.1339,20.1704,1.6267,2.6547,1.9639,3.2889,153377,607028,760405,2495,16115,18610,19,30,49,285,245,530,304,275,25–40%,15–25%
Large,j9e/abm/0zg,52.3682,30.2513,2.7646,4.2585,5.0102,6.8139,229585,529341,758926,6347,22542,28889,92,226,318,308,1228,1536,400,1454,50–60%,30–35%
Lifestyle,clo/h4p/fpl/cl5,32.9821,25.0128,1.1146,2.2698,0.7648,1.0727,187690,562685,750375,2092,12772,14864,5,11,16,111,26,137,116,37,25–40%,25–30%
CoreElectronics,6bo/tia/8pp/p0w,51.0886,31.9788,2.8806,4.0336,10.6056,12.8423,239600,509646,749246,6902,20557,27459,287,445,732,992,1648,2640,1279,2093,50–60%,30–35%
Home,upp/tnx/uy9,56.7053,32.8171,2.9296,3.7526,5.2118,6.1749,244950,501460,746410,7176,18818,25994,213,161,374,658,504,1162,871,665,50–60%,30–35%
Lifestyle,osp/iko/jpm,50.6825,25.8204,1.4538,2.0145,1.0394,1.2515,191914,551352,743266,2790,11107,13897,23,6,29,99,40,139,122,46,50–60%,25–30%
BGM,eat/e6o,48.3999,32.0573,2.7703,3.3924,5.2277,9.3154,235458,499034,734492,6523,16929,23452,163,178,341,599,978,1577,762,1156,40–50%,30–35%
Home,upp/i7t/uaz,30.5362,24.2798,1.8466,2.4158,3.3739,6.8837,178164,555632,733796,3290,13423,16713,73,38,111,499,425,924,572,463,25–40%,15–25%
Home,b8s/prq,60.7752,20.0690,1.7882,2.1993,7.0611,6.6698,146515,583543,730058,2620,12834,15454,100,85,185,360,496,856,460,581,60–70%,15–25%
BGM,abc/ulv,58.6944,29.2243,2.1889,2.5249,6.0665,7.5200,213124,516145,729269,4665,13032,17697,86,197,283,408,572,980,494,769,50–60%,25–30%
CoreElectronics,4rr/km5,86.5362,15.9438,4.0709,3.4322,10.2916,9.5421,116240,612819,729059,4732,21033,25765,237,250,487,833,1174,2007,1070,1424,70–100%,15–25%
Large,j9e/m38/xrv,47.8851,36.7394,2.5788,3.9337,7.6160,11.1821,265778,457636,723414,6854,18002,24856,182,340,522,646,1367,2013,828,1707,40–50%,35–40%
Home,arb/a77/vk7,31.6611,17.9146,1.6973,2.4866,4.8903,7.9118,128907,590656,719563,2188,14687,16875,48,59,107,626,536,1162,674,595,25–40%,15–25%
BGM,1mt/eoe,94.2031,20.5070,2.2548,2.4072,4.5701,3.7925,147506,571791,719297,3326,13764,17090,49,103,152,193,329,522,242,432,70–100%,15–25%
BGM,tng/clb/xv3,54.2566,27.3023,3.5414,3.5189,5.0496,7.7049,196281,522637,718918,6951,18391,25342,126,225,351,506,911,1417,632,1136,50–60%,25–30%
BGM,1mt/m2b/jxk/fk6,109.8469,4.3057,1.9718,2.2861,4.9180,5.5860,30936,687547,718483,610,15718,16328,9,21,30,296,582,878,305,603,>100%,<5%
EmergingElectronics,0pm/0o7/2to,94.4319,16.1397,3.8113,3.4286,6.1493,4.4274,115630,600802,716432,4407,20599,25006,32,239,271,183,729,912,215,968,70–100%,15–25%
BGM,tng/56a/sa6,58.6742,5.9257,2.0438,2.6343,6.6975,8.1880,42373,672699,715072,866,17721,18587,23,35,58,713,738,1451,736,773,50–60%,5–15%
BGM,abc/5lf,25.6909,20.1103,2.2404,3.1155,6.0248,13.1381,143724,570954,714678,3220,17788,21008,60,134,194,636,1701,2337,696,1835,25–40%,15–25%
EmergingElectronics,0pm/fcn/821/a7x/2rv,87.5371,31.6837,3.1713,4.5794,12.2893,10.7402,226311,487971,714282,7177,22346,29523,153,729,882,487,1913,2400,640,2642,70–100%,30–35%
Furniture,wwe/rg9,48.1771,38.0920,4.7738,6.2343,3.1962,4.4086,271335,440980,712315,12953,27492,40445,126,288,414,458,754,1212,584,1042,40–50%,35–40%
BGM,1mt/w8q/fos/w6m,40.0503,9.5351,2.5809,3.2839,3.8462,5.8110,67496,640371,707867,1742,21029,22771,28,39,67,560,662,1222,588,701,40–50%,5–15%
Lifestyle,clo/vua/e8g,58.5096,35.9174,1.9227,2.6006,2.2709,2.5602,254225,453579,707804,4888,11796,16684,24,87,111,95,207,302,119,294,50–60%,35–40%
Home,jra/iwp/aly,49.4046,32.3927,2.9142,3.2651,6.9781,10.8030,229155,478273,707428,6678,15616,22294,278,188,466,848,839,1687,1126,1027,40–50%,30–35%
Lifestyle,osp/mba/qzr/g31,49.2095,39.1421,2.1962,2.3214,2.2705,3.6941,276753,430293,707046,6078,9989,16067,59,79,138,143,226,369,202,305,40–50%,35–40%
BGM,1mt/aa4/hoc,88.4781,48.4045,4.5630,3.9084,15.8360,17.7519,342102,364655,706757,15610,14252,29862,634,1838,2472,676,1854,2530,1310,3692,70–100%,>40%
Lifestyle,clo/upk,72.3357,25.0415,1.8096,2.2022,0.9375,0.9007,176835,529333,706168,3200,11657,14857,11,19,30,53,52,105,64,71,70–100%,25–30%
Lifestyle,r18,63.2351,38.6787,1.5971,2.0766,7.0672,7.7499,271999,431227,703226,4344,8955,13299,94,213,307,238,456,694,332,669,60–70%,35–40%
Furniture,wwe/y7b/bzv,81.5688,35.8159,1.9756,2.0485,3.8469,4.0104,251315,450371,701686,4965,9226,14191,94,97,191,169,201,370,263,298,70–100%,35–40%
BGM,abc/5lf/ra8,30.8821,13.6806,3.0968,3.3332,4.3036,8.5076,95292,601257,696549,2951,20041,22992,37,90,127,567,1138,1705,604,1228,25–40%,5–15%
BGM,eat/br4,168.3656,39.3563,3.3940,2.4404,12.8410,8.7291,273275,421087,694362,9275,10276,19551,341,850,1191,259,638,897,600,1488,>100%,35–40%
Home,jhg/6w8/rws,56.5628,14.3594,2.3292,2.5623,3.1008,3.7939,99692,594572,694264,2322,15235,17557,48,24,72,343,235,578,391,259,50–60%,5–15%
Home,arb/uj2,35.9981,17.1804,1.2056,1.9748,4.5775,6.5995,117787,567802,685589,1420,11213,12633,36,29,65,321,419,740,357,448,25–40%,15–25%
Lifestyle,reh/ihu/yvb,44.4463,37.5019,1.7435,2.6007,3.9167,5.1319,256271,427084,683355,4468,11107,15575,125,50,175,359,211,570,484,261,40–50%,35–40%
EmergingElectronics,0pm/0o7/0it/sfd,33.5601,25.5593,2.4292,4.2021,4.1539,6.4274,174416,507982,682398,4237,21346,25583,38,138,176,314,1058,1372,352,1196,25–40%,25–30%
Furniture,wwe/c3z/r0c,42.2000,13.9019,2.5009,3.3077,2.1638,2.9005,94247,583697,677944,2357,19307,21664,8,43,51,145,415,560,153,458,40–50%,5–15%
BGM,g9b/ffi/tv5/4rm,29.9730,29.4141,2.1491,4.2013,8.0626,10.6257,199107,477802,676909,4279,20074,24353,197,148,345,1074,1059,2133,1271,1207,25–40%,25–30%
BGM,1mt/u7j/cp0,75.7414,20.5929,2.1962,2.7708,9.9344,7.5010,138876,535512,674388,3050,14838,17888,84,219,303,367,746,1113,451,965,70–100%,15–25%
Large,j9e/m38/575,43.5608,36.8297,4.2760,5.8801,7.8980,12.3568,247542,424584,672126,10585,24966,35551,251,585,836,1009,2076,3085,1260,2661,40–50%,35–40%
BGM,g9b/lcf,74.5388,35.7009,3.1016,3.2742,17.2942,17.6050,239747,431797,671544,7436,14138,21574,449,837,1286,836,1653,2489,1285,2490,70–100%,35–40%
Lifestyle,clo/qvw/z0g,65.8617,27.8718,2.1670,2.7530,1.4840,1.5573,186568,482811,669379,4043,13292,17335,32,28,60,115,92,207,147,120,60–70%,25–30%
Home,jra/kzv/3bw,56.2719,33.3171,3.5328,4.1309,7.7335,10.5613,222172,444668,666840,7849,18369,26218,264,343,607,762,1178,1940,1026,1521,50–60%,30–35%
Furniture,wwe/ur9,57.3149,32.1455,2.1097,2.5251,2.8761,3.2925,214253,452258,666511,4520,11420,15940,38,92,130,175,201,376,213,293,50–60%,30–35%
CoreElectronics,zlw/nyl,93.2123,30.8660,3.3860,2.8722,10.5600,10.2817,203041,454773,657814,6875,13062,19937,221,505,726,396,947,1343,617,1452,70–100%,30–35%
BGM,abc/egs/5wq,49.1231,20.0557,3.7743,5.2652,5.4483,8.0552,131787,525317,657104,4974,27659,32633,151,120,271,869,1359,2228,1020,1479,40–50%,15–25%
Home,h1m/um7/sd1,98.0727,12.3773,2.2108,2.8608,8.4310,6.6069,81013,573517,654530,1791,16407,18198,47,104,151,417,667,1084,464,771,70–100%,5–15%
Home,jra/knw/llw,49.1127,34.1668,2.8933,3.6201,4.0199,5.6589,222689,429081,651770,6443,15533,21976,150,109,259,496,383,879,646,492,40–50%,30–35%
Home,upp/ldf,76.7135,14.4094,2.7645,2.4322,10.3649,11.7367,93183,553501,646684,2576,13462,16038,107,160,267,635,945,1580,742,1105,70–100%,5–15%
Home,jhg/6w8/jjg,60.1418,20.2580,2.9493,3.1779,8.2014,10.3659,130641,514244,644885,3853,16342,20195,109,207,316,591,1103,1694,700,1310,60–70%,15–25%
BGM,p3t,66.9009,26.9877,2.1522,2.3738,9.4269,9.5674,173494,469369,642863,3734,11142,14876,121,231,352,324,742,1066,445,973,60–70%,25–30%
Lifestyle,clo/8on,43.2329,23.2369,1.4919,2.0945,1.5787,1.9938,148601,490904,639505,2217,10282,12499,16,19,35,100,105,205,116,124,40–50%,15–25%
CoreElectronics,jek,61.4320,15.2735,2.6184,2.3289,5.0078,5.7489,97616,541505,639121,2556,12611,15167,24,104,128,166,559,725,190,663,60–70%,15–25%
Home,arb/bga/f3b,52.2182,17.7661,2.7109,3.6728,9.4148,9.3416,112839,522297,635136,3059,19183,22242,115,173,288,938,854,1792,1053,1027,50–60%,15–25%
Home,jra/knw,67.5267,36.7436,2.8615,3.0222,4.7161,6.2035,232674,400563,633237,6658,12106,18764,127,187,314,300,451,751,427,638,60–70%,35–40%
Home,jhg/6w8/jlo,40.8330,18.1283,2.5561,3.1237,5.6256,7.8026,114743,518207,632950,2933,16187,19120,67,98,165,507,756,1263,574,854,40–50%,15–25%
BGM,abc/ulv/ixt/tvt,68.1294,45.5558,5.5042,5.8766,5.4184,6.4687,287688,343819,631507,15835,20205,36040,265,593,858,434,873,1307,699,1466,60–70%,>40%
Home,arb/g0v/ctx,43.7102,17.0243,1.8091,2.6835,6.6872,8.3535,107454,523727,631181,1944,14054,15998,60,70,130,625,549,1174,685,619,40–50%,15–25%
BGM,tng/ll1,93.7340,33.7687,3.0472,3.0739,11.4167,11.2439,212425,416633,629058,6473,12807,19280,362,377,739,642,798,1440,1004,1175,70–100%,30–35%
BGM,1mt/s84/jzx/nrz,90.3095,38.9677,3.3788,3.1720,8.6724,8.7144,242989,380576,623565,8210,12072,20282,152,560,712,308,744,1052,460,1304,70–100%,35–40%
Lifestyle,reh/cca,47.6820,35.2648,3.0236,3.4201,4.8538,7.6733,219409,402767,622176,6634,13775,20409,158,164,322,409,648,1057,567,812,40–50%,35–40%
Furniture,wwe/ki7/ot1,37.6104,21.3875,1.8661,2.5124,3.3025,4.7855,133056,489063,622119,2483,12287,14770,52,30,82,380,208,588,432,238,25–40%,15–25%
Large,j9e/m38/j1e,44.1516,36.3556,4.1976,6.2569,7.4841,8.8076,224413,392860,617273,9420,24581,34001,205,500,705,527,1638,2165,732,2138,40–50%,35–40%
Home,upp/nwv/otq,42.6078,22.2228,1.7908,2.3475,10.0570,11.7323,137145,479991,617136,2456,11268,13724,82,165,247,470,852,1322,552,1017,40–50%,15–25%
Home,arb/bga/mmf,38.0649,27.8191,2.2513,2.5897,3.2753,6.3142,170882,443380,614262,3847,11482,15329,82,44,126,417,308,725,499,352,25–40%,25–30%
BGM,dgv/mqm,38.2850,16.9581,2.2598,3.9312,9.1998,14.1551,103414,506407,609821,2337,19908,22245,94,121,215,1093,1725,2818,1187,1846,25–40%,15–25%
BGM,d69/thr/c4y,94.1000,38.9145,3.7581,3.6937,18.1429,15.1925,236127,370657,606784,8874,13691,22565,224,1386,1610,456,1624,2080,680,3010,70–100%,35–40%
Home,h1m/um7/sd1/iqo,76.1605,31.6892,3.5474,3.6030,11.9401,11.2289,191944,413764,605708,6809,14908,21717,374,439,813,744,930,1674,1118,1369,70–100%,30–35%
CoreElectronics,6bo/ai3/pak,68.1917,28.0325,2.2420,2.0948,7.1146,7.0966,169265,434551,603816,3795,9103,12898,122,148,270,265,381,646,387,529,60–70%,25–30%
BGM,1mt/s84,91.0663,43.8355,3.5581,3.1690,14.1367,15.4104,264017,338274,602291,9394,10720,20114,544,784,1328,577,1075,1652,1121,1859,70–100%,>40%
BGM,1mt/85k/rfq,45.6979,23.3991,2.2196,2.9505,7.2780,9.8725,140523,460027,600550,3119,13573,16692,49,178,227,388,952,1340,437,1130,40–50%,15–25%
Home,jhg/yqn/db9,62.2050,35.5117,2.7867,3.4973,8.4315,9.3118,213228,387217,600445,5942,13542,19484,151,350,501,340,921,1261,491,1271,60–70%,35–40%
Lifestyle,osp/iko/974,56.8724,29.7947,1.6367,2.4874,1.3680,1.3657,178654,420962,599616,2924,10471,13395,31,9,40,95,48,143,126,57,50–60%,25–30%
BGM,g9b/ffi/ssf/35h,13.0901,11.7400,1.3812,2.8143,2.9835,7.4552,70372,529051,599423,972,14889,15861,16,13,29,576,534,1110,592,547,0–25%,5–15%
BGM,1mt/0mi/p2g,51.6979,38.8053,2.8684,4.4985,12.0967,13.9936,232293,366319,598612,6663,16479,23142,233,573,806,731,1575,2306,964,2148,50–60%,35–40%
BGM,eat/zn0,141.7975,22.8276,2.0379,3.9816,0.4337,0.1696,135777,459015,594792,2767,18276,21043,5,7,12,19,12,31,24,19,>100%,15–25%
CoreElectronics,6bo/jdy/tby,26.9868,9.6638,1.4394,2.3371,6.4555,10.7857,57038,533183,590221,821,12461,13282,22,31,53,437,907,1344,459,938,25–40%,5–15%
BGM,1mt/d0x/zab,76.3524,6.9186,1.8969,1.8524,8.3979,5.7626,40804,548970,589774,774,10169,10943,12,53,65,198,388,586,210,441,70–100%,5–15%
BGM,hlc/etg/sxm,61.4389,34.6092,4.2334,5.3712,26.3293,28.0091,203027,383601,586628,8595,20604,29199,560,1703,2263,1274,4497,5771,1834,6200,60–70%,30–35%
Home,rja/zqm,67.0016,38.3635,2.3677,2.5027,11.1716,15.5998,224944,361405,586349,5326,9045,14371,341,254,595,669,742,1411,1010,996,60–70%,35–40%
Lifestyle,clo/odx/od7,60.6928,16.7433,1.6780,2.2932,0.8500,0.7952,98150,488056,586206,1647,11192,12839,10,4,14,41,48,89,51,52,60–70%,15–25%
Lifestyle,clo/upk/sxw/doc,46.8514,12.5878,2.1256,2.7622,0.9032,0.6506,72920,506370,579290,1550,13987,15537,3,11,14,40,51,91,43,62,40–50%,5–15%
CoreElectronics,6bo/tia/8pp/wap,39.2627,27.4871,3.0870,4.1461,5.6596,9.6989,159120,419769,578889,4912,17404,22316,148,130,278,781,907,1688,929,1037,25–40%,25–30%
Home,h1m/hww/fgi,88.5071,18.8860,2.5047,2.3824,11.9283,10.6852,109115,468641,577756,2733,11165,13898,75,251,326,336,857,1193,411,1108,70–100%,15–25%
BGM,tng/kks,42.9302,11.6479,2.1912,2.6850,5.1595,7.8080,67223,509901,577124,1473,13691,15164,34,42,76,492,577,1069,526,619,40–50%,5–15%
BGM,eat/0we,45.0823,26.3601,1.9788,3.0685,5.9607,7.9945,151760,423958,575718,3003,13009,16012,79,100,179,379,661,1040,458,761,40–50%,25–30%
BGM,kyh/fdp/kvq,67.0011,41.1619,4.1598,5.2081,25.2718,29.8035,236575,338168,574743,9841,17612,27453,696,1791,2487,1325,3924,5249,2021,5715,60–70%,>40%
BGM,tng/8k8,42.0736,2.2994,1.6727,2.6170,3.6199,7.2834,13212,561361,574573,221,14691,14912,2,6,8,435,635,1070,437,641,40–50%,<5%
CoreElectronics,4rr/x1m,12.9701,3.7680,3.0352,4.6081,4.4410,8.8866,21514,549451,570965,653,25319,25972,21,8,29,495,1755,2250,516,1763,0–25%,<5%
Home,h1m/um7,97.9460,22.9102,3.1656,2.9111,10.9175,8.3940,130497,439106,569603,4131,12783,16914,204,247,451,480,593,1073,684,840,70–100%,15–25%
BGM,g9b/ema/5la/bbf,59.9858,33.2793,2.8909,3.9571,8.8596,10.1788,188970,378860,567830,5463,14992,20455,173,311,484,534,992,1526,707,1303,50–60%,30–35%
BGM,tng/56a/fq8,80.4513,19.9352,2.5487,2.6069,7.8049,7.7947,112606,452255,564861,2870,11790,14660,68,156,224,324,595,919,392,751,70–100%,15–25%
BGM,g9b/ffi/dzu/ypp,62.0659,36.1020,3.5679,5.0378,11.0683,12.0819,203844,360789,564633,7273,18176,25449,397,408,805,1010,1186,2196,1407,1594,60–70%,35–40%
BGM,g9b/lcf/bjl/exg,12.3387,6.0263,1.1313,2.8943,3.1250,7.6767,33942,529289,563231,384,15319,15703,4,8,12,452,724,1176,456,732,0–25%,5–15%
BGM,1mt/eoe/kyc,74.9739,32.9872,2.2512,2.9245,4.5476,3.8092,185587,377016,562603,4178,11026,15204,34,156,190,137,283,420,171,439,70–100%,30–35%
BGM,1mt/ebm/iwn/tkk,50.1950,37.7725,3.1774,3.3818,9.6530,14.7315,212251,349668,561919,6744,11825,18569,145,506,651,412,1330,1742,557,1836,50–60%,35–40%
Home,h1m/iee,79.6857,37.8887,2.7889,2.6930,10.4093,11.0449,212882,348979,561861,5937,9398,15335,275,343,618,471,567,1038,746,910,70–100%,35–40%
Furniture,wwe/fc3/xlp,60.9629,34.7061,3.1096,3.1009,3.2013,4.7937,194879,366633,561512,6060,11369,17429,94,100,194,217,328,545,311,428,60–70%,30–35%
Home,arb/g0v/6vh,40.1803,21.8288,2.2449,2.8695,6.1091,8.8497,122500,438684,561184,2750,12588,15338,114,54,168,646,468,1114,760,522,40–50%,15–25%
BGM,eat/ltb/jlc,79.8001,48.7269,7.5628,7.2810,15.5148,17.5077,272638,286885,559523,20619,20888,41507,1239,1960,3199,1464,2193,3657,2703,4153,70–100%,>40%
Lifestyle,reh/agc,69.1284,44.6524,3.0272,3.3240,11.9019,13.8280,249237,308935,558172,7545,10269,17814,390,508,898,643,777,1420,1033,1285,60–70%,>40%
EmergingElectronics,0pm/fcn/821/a7x,50.6382,38.2009,2.0569,3.2541,11.8132,14.5272,212356,343536,555892,4368,11179,15547,73,443,516,196,1428,1624,269,1871,50–60%,35–40%
Home,upp/tnx/9fq,53.4355,33.3365,2.7889,3.4697,7.8340,9.5168,184910,369768,554678,5157,12830,17987,230,174,404,676,545,1221,906,719,50–60%,30–35%
BGM,g9b/ffi/bhh/hb8,35.5854,34.1570,2.2663,3.0327,6.9762,13.1151,189120,364558,553678,4286,11056,15342,167,132,299,737,713,1450,904,845,25–40%,30–35%
BGM,qoc/amf,74.6001,39.5861,2.3914,2.5310,8.8685,9.8450,218785,333897,552682,5232,8451,13683,159,305,464,296,536,832,455,841,70–100%,35–40%
Home,bro/tez,44.3172,19.4404,2.5347,3.6046,8.2997,12.0147,107429,445177,552606,2723,16047,18770,98,128,226,649,1279,1928,747,1407,40–50%,15–25%
Furniture,wwe/c3z/0mv,65.6158,17.5270,2.3850,2.9739,3.9445,3.2654,96730,455160,551890,2307,13536,15843,14,77,91,157,285,442,171,362,60–70%,15–25%
BGM,g9b/lcf/bjl/fic,19.7438,9.0324,1.4333,2.2709,4.0673,6.9350,49745,500997,550742,713,11377,12090,15,14,29,425,364,789,440,378,0–25%,5–15%
EmergingElectronics,ajy,56.9368,31.9776,2.2505,2.5744,5.4266,7.8623,176049,374489,550538,3962,9641,13603,65,150,215,190,568,758,255,718,50–60%,30–35%
BGM,1mt/aa4/law,93.6480,49.3582,4.3715,3.7854,23.5973,25.5832,271534,278596,550130,11870,10546,22416,463,2338,2801,441,2257,2698,904,4595,70–100%,>40%
Furniture,wwe/ki7/vh2,57.7867,9.4013,2.3947,2.5778,2.5122,2.7888,51530,496584,548114,1234,12801,14035,17,14,31,202,155,357,219,169,50–60%,5–15%
BGM,abc,25.7148,23.3485,1.4914,2.3331,6.4990,13.3993,127934,419999,547933,1908,9799,11707,38,86,124,377,936,1313,415,1022,25–40%,15–25%
BGM,eat/klf/f3s,48.6785,33.5612,1.8626,3.1733,6.9217,8.6855,183828,363911,547739,3424,11548,14972,106,131,237,378,625,1003,484,756,40–50%,30–35%
BGM,abc/5lf/yjg,30.2170,18.8223,2.6190,3.5292,8.2994,15.4851,103056,444465,547521,2699,15686,18385,71,153,224,589,1840,2429,660,1993,25–40%,15–25%
BGM,tng/56a/fq8/p0j,72.6523,6.5681,4.0013,2.6043,8.1933,10.8086,35688,507669,543357,1428,13221,14649,28,89,117,379,1050,1429,407,1139,70–100%,5–15%
Home,upp/5ix/xi9,66.9347,38.5961,2.9203,3.2296,15.8577,17.4014,208816,332213,541029,6098,10729,16827,419,548,967,693,1174,1867,1112,1722,60–70%,35–40%
Lifestyle,clo/vua/rqy,49.5224,35.1541,2.3652,2.8791,1.4053,2.0962,189536,349622,539158,4483,10066,14549,29,34,63,77,134,211,106,168,40–50%,35–40%
CoreElectronics,jek/p31,67.5043,8.3081,2.9584,3.0906,4.6212,5.4143,44618,492424,537042,1320,15219,16539,13,48,61,201,623,824,214,671,60–70%,5–15%
Home,upp/tnx/j12,63.5739,35.4775,3.2934,3.9475,7.5743,8.8184,190018,345584,535602,6258,13642,19900,225,249,474,628,575,1203,853,824,60–70%,35–40%
Lifestyle,mcr/96v/2lx,46.9670,3.6853,2.0427,2.1543,2.9777,6.0407,19729,515608,535337,403,11108,11511,4,8,12,329,342,671,333,350,40–50%,<5%
CoreElectronics,zlw/79s/mh8,68.4902,39.9553,4.0840,4.3856,10.9037,12.2924,213786,321277,535063,8731,14090,22821,358,594,952,636,1096,1732,994,1690,60–70%,35–40%
Lifestyle,clo/vua/iku,47.9468,26.8689,1.4355,2.5381,2.1339,1.9752,143641,390958,534599,2062,9923,11985,29,15,44,137,59,196,166,74,40–50%,25–30%
BGM,kyh/9gj/ovq,84.2607,39.6290,3.5035,3.8975,12.9312,12.3074,211017,321464,532481,7393,12529,19922,326,630,956,519,1023,1542,845,1653,70–100%,35–40%
CoreElectronics,6bo/nl4/igk,33.6492,6.3515,4.2930,4.5547,5.3942,8.2891,33683,496634,530317,1446,22620,24066,11,67,78,343,1532,1875,354,1599,25–40%,5–15%
Home,upp/tnx/qvz,49.5886,31.8262,2.0777,2.9795,5.2331,7.0192,168310,360531,528841,3497,10742,14239,98,85,183,440,314,754,538,399,40–50%,30–35%
BGM,g9b/ffi/3dd,42.9978,29.0631,2.2170,3.1448,8.7518,9.8736,153587,374873,528460,3405,11789,15194,91,207,298,385,779,1164,476,986,40–50%,25–30%
Large,j9e/abm/ve9,30.3693,19.0150,3.2769,4.7368,9.3894,12.0116,99455,423580,523035,3259,20064,23323,22,284,306,214,2196,2410,236,2480,25–40%,15–25%
BGM,g9b/ema/5la/r0t,49.4625,39.6669,2.9032,4.7512,15.0266,18.4240,207223,315185,522408,6016,14975,20991,426,478,904,1309,1450,2759,1735,1928,40–50%,35–40%
CoreElectronics,zlw/nyl/bvv/o4o,60.3468,42.4296,2.9711,3.3800,11.4647,15.4567,221060,299944,521004,6568,10138,16706,231,522,753,489,1078,1567,720,1600,60–70%,>40%
Lifestyle,clo/1hc/5d2,47.5156,33.9879,2.0903,2.9327,1.4933,2.1423,176193,342206,518399,3683,10036,13719,25,30,55,104,111,215,129,141,40–50%,30–35%
BGM,1mt/s84/jzx,78.6082,38.3899,2.8781,2.6988,6.5187,7.5833,198815,319068,517883,5722,8611,14333,131,242,373,213,440,653,344,682,70–100%,35–40%
BGM,tng/2cz/yth,118.2663,31.3023,3.8801,3.1136,6.1744,5.3041,161955,355435,517390,6284,11067,17351,40,348,388,80,507,587,120,855,>100%,30–35%
Lifestyle,clo/vua/rqy/rqn,73.1330,31.1696,2.5649,2.8074,1.8859,1.8005,161256,356094,517350,4136,9997,14133,34,44,78,105,75,180,139,119,70–100%,30–35%
BGM,g9b/ffi/dzu/njv,37.8625,35.3233,2.6659,4.5554,10.3080,16.8340,182679,334484,517163,4870,15237,20107,287,215,502,1375,1190,2565,1662,1405,25–40%,35–40%
Home,b8s/prq/5wd,58.5474,20.6014,2.6204,4.6928,5.9541,4.9109,106395,410051,516446,2788,19243,22031,61,105,166,307,638,945,368,743,50–60%,15–25%
Home,jra/ixy,64.2517,33.7464,2.3837,2.7648,7.1411,8.2133,172714,339086,511800,4117,9375,13492,151,143,294,415,355,770,566,498,60–70%,30–35%
BGM,qoc/acb/jjo,68.9008,40.4707,4.3155,4.0640,21.3580,26.5111,206464,303693,510157,8910,12342,21252,382,1521,1903,646,2626,3272,1028,4147,60–70%,>40%
Lifestyle,clo/nyk/zp4,76.7004,32.8038,2.3404,2.6789,1.5132,1.5205,166595,341258,507853,3899,9142,13041,26,33,59,68,71,139,94,104,70–100%,30–35%
EmergingElectronics,tyy/4mr/vnf,50.8297,40.1657,2.1057,2.7664,11.8565,15.3535,203877,303713,507590,4293,8402,12695,159,350,509,424,866,1290,583,1216,50–60%,>40%
Furniture,wwe/osg,65.2527,21.4630,2.3437,2.2577,2.3950,2.3391,108674,397657,506331,2547,8978,11525,15,46,61,65,145,210,80,191,60–70%,15–25%
BGM,eat/xhv,77.5781,37.3656,5.9922,6.3454,12.7134,14.0038,187710,314651,502361,11248,19966,31214,417,1013,1430,765,2031,2796,1182,3044,70–100%,35–40%
Lifestyle,clo/qvw/vvr/syu,82.8008,32.8532,1.5213,2.5333,2.7911,1.7924,164859,336946,501805,2508,8536,11044,49,21,70,112,41,153,161,62,70–100%,30–35%
Home,upp/i7t/gka,47.7761,29.8606,2.5618,3.2871,5.6036,7.5586,149073,350156,499229,3819,11510,15329,114,100,214,397,473,870,511,573,40–50%,25–30%
Home,jra/kwq,52.5945,31.0996,2.2666,2.9069,5.6475,7.5286,154683,342696,497379,3506,9962,13468,120,78,198,381,369,750,501,447,50–60%,30–35%
BGM,g9b/ema/5la/0wq,114.1305,39.5510,4.5772,4.2547,22.5727,17.2774,195994,299554,495548,8971,12745,21716,597,1428,2025,700,1502,2202,1297,2930,>100%,35–40%
BGM,hlc/ah4/xos,107.1089,42.1950,5.2063,4.3874,35.5080,31.6761,208153,285159,493312,10837,12511,23348,447,3401,3848,654,3309,3963,1101,6710,>100%,>40%
Lifestyle,clo/ash/axc/mmk/bk1,34.5849,32.2281,2.5561,4.0401,1.1837,1.8029,158643,333608,492251,4055,13478,17533,27,21,48,162,81,243,189,102,25–40%,30–35%
Lifestyle,clo/qfl/t6c,81.8891,37.3374,2.2908,2.4263,1.6233,1.9474,182861,306892,489753,4189,7446,11635,31,37,68,72,73,145,103,110,70–100%,35–40%
Lifestyle,mcr/96v/0ew,28.7279,16.7386,1.1925,1.9635,3.7871,4.8238,81930,407536,489466,977,8002,8979,14,23,37,222,164,386,236,187,25–40%,15–25%
EmergingElectronics,tyy/4mr/ukk,17.7866,6.8042,1.5923,4.1966,7.7505,8.1064,33222,455032,488254,529,19096,19625,6,35,41,349,1199,1548,355,1234,0–25%,5–15%
EmergingElectronics,tyy/4mr/mr4/00w,46.2857,3.9586,1.8849,1.5325,2.7473,6.9499,19311,468514,487825,364,7180,7544,4,6,10,208,291,499,212,297,40–50%,<5%
BGM,g9b/lcf/qqm/331,85.6199,41.1779,4.7766,4.7928,18.8752,18.7960,200644,286617,487261,9584,13737,23321,639,1170,1809,1057,1525,2582,1696,2695,70–100%,>40%
BGM,g9b/ffi/dzu/y2c,88.3288,34.3722,4.3096,4.5623,24.0161,18.4176,166860,318591,485451,7191,14535,21726,457,1270,1727,954,1723,2677,1411,2993,70–100%,30–35%
